Country,Library,LC Class,1 Holding,2 Holdings,3 Holdings,4 Holdings,5 Holdings,6 Holdings,7 Holdings,8 Holdings,9 Holdings,10 Holdings,11 Holdings,12 Holdings,13 Holdings,14 Holdings,15 Holdings
Argentina,MNU,D,2,4,3,4,1,5,5,1,0,0,0,0,0,0,0
Argentina,MNU,E,1,2,2,2,2,2,1,1,1,0,0,0,0,0,0
Argentina,MNU,F,35,43,117,151,134,146,49,20,12,11,3,2,0,0,0
Argentina,MNU,G,0,2,3,4,6,2,4,0,0,0,0,0,0,0,0
Argentina,MNU,H,28,55,94,123,144,131,52,24,12,7,3,0,0,0,0
Argentina,MNU,J,10,6,20,30,36,27,10,1,2,2,0,0,0,0,0
Argentina,MNU,K,0,2,1,2,3,4,1,0,0,0,0,0,0,0,0
Argentina,MNU,L,0,0,4,6,2,0,4,1,0,0,0,0,0,0,0
Argentina,MNU,M,0,2,0,0,2,2,4,2,0,0,0,0,0,0,0
Argentina,MNU,N,3,2,3,4,4,2,3,3,0,0,0,0,0,0,0
Argentina,MNU,P,28,57,96,98,162,143,100,97,68,56,38,18,14,2,1
Argentina,MNU,Q,5,0,3,5,3,1,1,0,0,0,0,0,0,0,0
Argentina,MNU,R,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0
Argentina,MNU,S,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0
Argentina,MNU,T,0,0,4,4,3,2,0,0,1,0,0,0,0,0,0
Argentina,MNU,U,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0
Argentina,MNU,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,MNU,Z,0,1,3,1,6,4,2,2,0,1,0,1,0,0,0
Argentina,LDL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,F,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
Argentina,LDL,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,H,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0
Argentina,LDL,J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,N,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Argentina,LDL,P,4,6,15,6,13,8,13,13,7,14,14,9,10,2,1
Argentina,LDL,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,LDL,Z,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Argentina,GZM,A,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
Argentina,GZM,B,16,10,7,17,17,10,3,3,0,0,0,0,0,0,0
Argentina,GZM,C,1,4,1,1,1,0,0,2,0,0,0,0,0,0,0
Argentina,GZM,D,6,2,1,4,2,5,5,1,0,0,0,0,0,0,0
Argentina,GZM,E,2,0,0,2,6,3,1,1,1,0,0,0,0,0,0
Argentina,GZM,F,47,53,91,149,189,167,59,21,16,11,3,2,0,0,0
Argentina,GZM,G,5,2,10,8,10,2,4,0,0,1,0,0,0,0,0
Argentina,GZM,H,75,60,82,134,171,134,60,28,14,6,4,0,0,0,0
Argentina,GZM,J,14,8,18,28,46,33,12,3,2,2,0,0,0,0,0
Argentina,GZM,K,15,3,3,4,4,5,1,0,0,0,0,0,0,0,0
Argentina,GZM,L,12,9,8,15,4,1,4,1,0,0,0,0,0,0,0
Argentina,GZM,M,2,2,1,3,2,2,6,1,0,0,0,0,0,0,0
Argentina,GZM,N,5,5,1,3,10,3,3,3,0,1,0,0,0,0,0
Argentina,GZM,P,245,284,261,312,331,268,198,166,102,77,46,19,14,2,1
Argentina,GZM,Q,1,1,1,4,2,2,1,0,0,0,0,0,0,0,0
Argentina,GZM,R,8,0,6,3,3,0,1,1,0,0,0,0,0,0,0
Argentina,GZM,S,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Argentina,GZM,T,0,1,5,3,4,1,1,1,1,0,0,0,0,0,0
Argentina,GZM,U,1,2,0,0,3,0,1,0,0,0,0,0,0,0,0
Argentina,GZM,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,GZM,Z,1,0,4,4,8,4,2,1,1,2,0,1,0,0,0
Bolivia,IUL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,IUL,B,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Bolivia,IUL,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,IUL,D,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bolivia,IUL,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,IUL,F,0,5,3,4,8,7,0,0,0,0,0,0,0,0,0
Bolivia,IUL,G,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Bolivia,IUL,H,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0
Bolivia,IUL,J,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0
